n	partition(n)	runtime(n)	memory(n)
257	394723676655357	0.00555706024169921875	7428520
258	425933084409356	0.053408145904541015625	7486312
259	459545750448675	0.00588893890380859375	7544328
260	495741934760846	0.00557804107666015625	7602568
261	534715062908609	0.0055778026580810546875	7661032
262	576672674947168	0.0056459903717041015625	7719720
263	621837416509615	0.005606174468994140625	7778632
264	670448123060170	0.0598289966583251953125	7837896
265	722760953690372	0.0058829784393310546875	7897256
266	779050629562167	0.0058209896087646484375	7956840
267	839611730366814	0.005918025970458984375	8016648
268	904760108316360	0.0059051513671875	8076680
269	974834369944625	0.0059640407562255859375	8136936
270	1050197489931117	0.0542252063751220703125	8197416
271	1131238503938606	0.0060689449310302734375	8258120
272	1218374349844333	0.0061309337615966796875	8319048
273	1312051800816215	0.0062019824981689453125	8380200
274	1412749565173450	0.0062110424041748046875	8441576
275	1520980492851175	0.0547239780426025390625	8503176
276	1637293969337171	0.00665187835693359375	8565000
277	1762278433057269	0.006359100341796875	8627048
278	1896564103591584	0.006411075592041015625	8689320
279	2040825852575075	0.0063641071319580078125	8751816
280	2195786311682516	0.05406093597412109375	8814664
281	2362219145337711	0.00685405731201171875	8877608
282	2540952590045698	0.0066640377044677734375	8940776
283	2732873183547535	0.00662899017333984375	9004168
284	2938929793929555	0.0067059993743896484375	9067784
285	3160137867148997	0.0539510250091552734375	9131624
286	3397584011986773	0.0070569515228271484375	9195688
287	3652430836071053	0.006969928741455078125	9259976
288	3925922161489422	0.0068719387054443359375	9324488
289	4219388528587095	0.0069129467010498046875	9389224
290	4534253126900886	0.0546448230743408203125	9454184
291	4872038056472084	0.007277011871337890625	9519368
292	5234371069753672	0.0072219371795654296875	9584776
293	5622992691950605	0.007152080535888671875	9650408
294	6039763882095515	0.0071341991424560546875	9716264
295	6486674127079088	0.0553629398345947265625	9782344
296	6965850144195831	0.0075531005859375	9848776
297	7479565078510584	0.0072348117828369140625	9915304
298	8030248384943040	0.0076658725738525390625	9982056
299	8620496275465025	0.007359981536865234375	10049032
